time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,10.63187956194034,5.9999995491553335,-5.999999909896813,-2.7157840686942447,99.82199,493.1868,-56.123978,-2649.6616,20.15574,-8.777501,2.0057964,-0.109633654,-0.453784,0.273556,0.8409683,-9.820533,-6.597431,0.22611356,1.7295816,-0.4094239,-0.36768043,0
0.01,10.63187956194034,5.9999995491553335,-5.999999909896813,-2.7157840686942447,101.20935,285.0703,-272.68265,-2980.9155,20.057102,-8.843274,2.007801,-0.07629625,-0.43511438,0.29563338,0.8470273,-9.906476,-6.556119,0.17496444,5.9999995,-6.0,-2.715784,0
0.02,10.63187956194034,5.9999995491553335,-5.999999909896813,-2.7157840686942447,101.20935,285.0703,-272.68265,-2980.9155,19.957628,-8.908595,2.0092983,-0.042807467,-0.4155815,0.31712422,0.8514057,-9.987802,-6.5071063,0.12462623,5.9999995,-6.0,-2.715784,0
0.03,10.63187956194034,5.9999995491553335,-5.999999909896813,-2.7157840686942447,101.20935,285.0703,-272.68265,-2980.9155,19.857367,-8.973391,2.0102959,-0.009233756,-0.39522406,0.33798584,0.8540949,-10.063844,-6.450822,0.07497304,5.9999995,-6.0,-2.715784,0
0.04,10.63187956194034,5.9999995491553335,-5.999999909896813,-2.7157840686942447,78.431915,136.71841,-257.7097,-2399.1453,19.756372,-9.037589,2.0108,0.024358278,-0.37408248,0.35817692,0.85508955,-10.133975,-6.3877516,0.025873588,5.9999995,-6.0,-2.715784,0
0.05,10.63187956194034,5.9999995491553335,-5.999999909896813,-2.7157840686942447,78.431915,136.71841,-257.7097,-2399.1453,19.654709,-9.101125,2.0108147,0.057901982,-0.35219872,0.37765732,0.8543876,-10.1976185,-6.318435,-0.022807822,5.9999995,-6.0,-2.715784,0
0.060000000000000005,10.63187956194034,5.9999995491553335,-5.999999909896813,-2.7157840686942447,78.431915,136.71841,-257.7097,-2399.1453,19.552443,-9.163938,2.0103443,0.09133081,-0.3296162,0.39638844,0.85199046,-10.254246,-6.243463,-0.07121019,5.9999995,-6.0,-2.715784,0
0.07,10.63187956194034,5.9999995491553335,-5.999999909896813,-2.7157840686942447,78.431915,136.71841,-257.7097,-2399.1453,19.449648,-9.225976,2.0093906,0.12457843,-0.30637968,0.41433308,0.84790295,-10.303387,-6.16347,-0.11947474,5.9999995,-6.0,-2.715784,0
0.08,18.276514825778303,5.999998141369835,-5.999999814966927,-1.1391686665350595,15.815863,1.1227369,-3.8198202,-1.0407906,19.346401,-9.287191,2.0079544,0.15757889,-0.28253528,0.43145564,0.84213316,-10.344628,-6.0791297,-0.16774376,5.9999995,-6.0,-2.715784,0
0.09,18.276514825778303,5.999998141369835,-5.999999814966927,-1.1391686665350595,15.815863,1.1227369,-3.8198202,-1.0407906,19.24266,-9.347231,2.006214,0.18364291,-0.25475103,0.44998196,0.8359982,-10.401352,-5.9278817,-0.18045875,5.999998,-6.0,-1.1391686,0
0.09999999999999999,18.276514825778303,5.999998141369835,-5.999999814966927,-1.1391686665350595,15.815863,1.1227369,-3.8198202,-1.0407906,19.138426,-9.405732,2.004343,0.20937046,-0.22649999,0.46768382,0.82833153,-10.443449,-5.771555,-0.19385745,5.999998,-6.0,-1.1391686,0
0.10999999999999999,18.276514825778303,5.999998141369835,-5.999999814966927,-1.1391686665350595,15.815863,1.1227369,-3.8198202,-1.0407906,19.033844,-9.462649,2.0023332,0.23471442,-0.19783397,0.4845288,0.8191472,-10.470582,-5.6113515,-0.2083932,5.999998,-6.0,-1.1391686,0
0.11999999999999998,18.276514825778303,5.999998141369835,-5.999999814966927,-1.1391686665350595,15.815863,1.1227369,-3.8198202,-1.0407906,18.929066,-9.517951,2.0001702,0.25962833,-0.16880551,0.5004861,0.80846214,-10.482526,-5.4485,-0.22451107,5.999998,-6.0,-1.1391686,0
0.12999999999999998,20.99999821578701,2.584557537799175,-5.9999991296104636,0.6247993756294605,17.075834,0.26293355,-1.6884583,-0.8399737,18.824245,-9.571615,1.9978361,0.28406656,-0.13946778,0.51552635,0.7962959,-10.479167,-5.284249,-0.24264452,5.999998,-6.0,-1.1391686,0
0.13999999999999999,20.99999821578701,2.584557537799175,-5.9999991296104636,0.6247993756294605,17.075834,0.26293355,-1.6884583,-0.8399737,18.719543,-9.623514,1.9953728,0.29869145,-0.11022762,0.5174525,0.79427695,-10.459319,-5.096112,-0.24966341,2.5845575,-5.999999,0.6247994,0
0.15,20.99999821578701,2.584557537799175,-5.9999991296104636,0.6247993756294605,17.075834,0.26293355,-1.6884583,-0.8399737,18.615105,-9.673547,1.9928498,0.31299478,-0.080868796,0.51882154,0.7914028,-10.426224,-4.910867,-0.25462723,2.5845575,-5.999999,0.6247994,0
0.16,20.999997841523182,-0.07747758711237437,-2.9486443563802185,0.6669378303282083,17.368135,-2.0684795,-0.6345104,-0.37603012,18.511063,-9.7217455,1.9902856,0.3269611,-0.051422894,0.519632,0.7876766,-10.380001,-4.7292705,-0.2580092,2.5845575,-5.999999,0.6247994,0
0.17,20.999997841523182,-0.07747758711237437,-2.9486443563802185,0.6669378303282083,17.368135,-2.0684795,-0.6345104,-0.37603012,18.407541,-9.7681465,1.9876953,0.33193803,-0.03819848,0.51461864,0.78963625,-10.32388,-4.5514045,-0.25961474,-0.07747759,-2.9486444,0.6669378,0
0.18000000000000002,20.999997841523182,-0.07747758711237437,-2.9486443563802185,0.6669378303282083,17.368135,-2.0684795,-0.6345104,-0.37603012,18.304604,-9.812784,1.9851024,0.33683905,-0.02496533,0.5094876,0.79141533,-10.263037,-4.376564,-0.2585886,-0.07747759,-2.9486444,0.6669378,0
0.19000000000000003,20.999997841523182,-0.07747758711237437,-2.9486443563802185,0.6669378303282083,17.368135,-2.0684795,-0.6345104,-0.37603012,18.202297,-9.855689,1.9825324,0.34166303,-0.0117264725,0.50424016,0.79301345,-10.197501,-4.204891,-0.25504923,-0.07747759,-2.9486444,0.6669378,0
0.20000000000000004,20.71950105536005,-0.7092588269526232,-0.3559523807923903,0.431344704155525,17.21699,-2.771342,2.4602654,-0.5594871,18.10067,-9.896893,1.9800098,0.34640893,0.0015150651,0.49887747,0.7944303,-10.127308,-4.036525,-0.24911727,-0.07747759,-2.9486444,0.6669378,0
0.21000000000000005,20.71950105536005,-0.7092588269526232,-0.3559523807923903,0.431344704155525,17.21699,-2.771342,2.4602654,-0.5594871,17.999758,-9.936439,1.9775498,0.3455853,0.002776415,0.4954353,0.79693574,-10.055288,-3.8728085,-0.24262452,-0.70925885,-0.35595238,0.43134472,0
0.22000000000000006,20.71950105536005,-0.7092588269526232,-0.3559523807923903,0.431344704155525,17.21699,-2.771342,2.4602654,-0.5594871,17.899565,-9.974352,1.9751619,0.3447546,0.004037708,0.49198306,0.79942495,-9.983513,-3.709896,-0.23471834,-0.70925885,-0.35595238,0.43134472,0
0.23000000000000007,20.71950105536005,-0.7092588269526232,-0.3559523807923903,0.431344704155525,17.21699,-2.771342,2.4602654,-0.5594871,17.800087,-10.010639,1.9728602,0.3439169,0.0052989186,0.4885208,0.8018979,-9.91198,-3.5478003,-0.22540581,-0.70925885,-0.35595238,0.43134472,0
0.24000000000000007,20.71950105536005,-0.7092588269526232,-0.3559523807923903,0.431344704155525,17.308083,-3.037047,3.9774656,-0.74708784,17.701324,-10.04531,1.9706587,0.34307218,0.0065600215,0.48504853,0.8043544,-9.840686,-3.386534,-0.21469413,-0.70925885,-0.35595238,0.43134472,0
0.25000000000000006,20.71950105536005,-0.7092588269526232,-0.3559523807923903,0.431344704155525,17.308083,-3.037047,3.9774656,-0.74708784,17.603273,-10.078374,1.9685712,0.34222043,0.007820991,0.4815664,0.8067946,-9.769631,-3.2261097,-0.20259054,-0.70925885,-0.35595238,0.43134472,0
0.26000000000000006,20.71950105536005,-0.7092588269526232,-0.3559523807923903,0.431344704155525,17.308083,-3.037047,3.9774656,-0.74708784,17.505932,-10.109837,1.9666116,0.34136173,0.0090818,0.4780744,0.8092183,-9.6988125,-3.0665405,-0.18910247,-0.70925885,-0.35595238,0.43134472,0
0.2700000000000001,20.71950105536005,-0.7092588269526232,-0.3559523807923903,0.431344704155525,17.308083,-3.037047,3.9774656,-0.74708784,17.409296,-10.139708,1.9647939,0.34049603,0.010342424,0.4745727,0.8116254,-9.628227,-2.9078386,-0.17423743,-0.70925885,-0.35595238,0.43134472,0
0.2800000000000001,19.140236157121038,-1.2398736790582292,1.4893645363449715,0.21362022842848527,17.534998,-2.9920495,4.643077,-0.7988092,17.313368,-10.167996,1.9631318,0.33962342,0.011602837,0.4710613,0.81401604,-9.557875,-2.7500172,-0.15800305,-0.70925885,-0.35595238,0.43134472,0
0.2900000000000001,19.140236157121038,-1.2398736790582292,1.4893645363449715,0.21362022842848527,17.534998,-2.9920495,4.643077,-0.7988092,17.21811,-10.194769,1.9615943,0.33530194,0.0039382633,0.4685093,0.81734675,-9.494325,-2.6044316,-0.14933217,-1.2398736,1.4893645,0.21362023,0
0.3000000000000001,19.140236157121038,-1.2398736790582292,1.4893645363449715,0.21362022842848527,17.534998,-2.9920495,4.643077,-0.7988092,17.12347,-10.220082,1.9601485,0.33094856,-0.0037266836,0.46591273,0.8205998,-9.434272,-2.4580638,-0.13971055,-1.2398736,1.4893645,0.21362023,0
0.3100000000000001,19.140236157121038,-1.2398736790582292,1.4893645363449715,0.21362022842848527,17.534998,-2.9920495,4.643077,-0.7988092,17.029413,-10.243928,1.9588034,0.32656375,-0.011391276,0.46327195,0.8237748,-9.377741,-2.3109732,-0.1291724,-1.2398736,1.4893645,0.21362023,0
0.3200000000000001,17.910013788569824,-1.5744268836656496,3.0911689100114965,0.03418073478146052,17.191061,-3.1305914,5.427285,-0.74001014,16.935902,-10.266299,1.9575682,0.32214788,-0.019054785,0.4605871,0.8268716,-9.32475,-2.1632195,-0.1177523,-1.2398736,1.4893645,0.21362023,0
0.3300000000000001,17.910013788569824,-1.5744268836656496,3.0911689100114965,0.03418073478146052,17.191061,-3.1305914,5.427285,-0.74001014,16.842886,-10.287235,1.9564153,0.3146897,-0.03428843,0.458991,0.8301334,-9.279477,-2.0239391,-0.11277345,-1.5744269,3.0911689,0.034180734,0
0.34000000000000014,17.910013788569824,-1.5744268836656496,3.0911689100114965,0.03418073478146052,17.191061,-3.1305914,5.427285,-0.74001014,16.750292,-10.306772,1.9553132,0.30713683,-0.049511757,0.4572568,0.83314544,-9.240186,-1.882993,-0.10760582,-1.5744269,3.0911689,0.034180734,0
0.35000000000000014,17.910013788569824,-1.5744268836656496,3.0911689100114965,0.03418073478146052,17.191061,-3.1305914,5.427285,-0.74001014,16.658062,-10.324892,1.9542632,0.29949158,-0.06472018,0.45538497,0.8359068,-9.206924,-1.7405515,-0.10237197,-1.5744269,3.0911689,0.034180734,0
0.36000000000000015,17.232991108527745,-1.6179233797757695,3.2151369848189306,-0.1294683402416528,16.487036,-3.0220826,5.36194,-0.91449654,16.566133,-10.34158,1.9532654,0.2917562,-0.07990914,0.45337614,0.83841664,-9.179732,-1.5967872,-0.09719447,-1.5744269,3.0911689,0.034180734,0
