time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,9.009758670990017,5.583257206906991,-4.606252191536684,0.8793777462557228,15.832503,0.9580467,-2.7061844,0.75088793,14.050671,-11.717693,2.7995865,0.45034352,-0.19878946,0.27561137,0.82565844,-8.169218,-1.5358164,3.0769887,1.2222406,-0.517088,-0.112690255,0
0.01,9.009758670990017,5.583257206906991,-4.606252191536684,0.8793777462557228,9.74703,3.3158875,-1.469516,-0.48551083,13.968945,-11.732765,2.8302124,0.4534164,-0.19187938,0.28009716,0.82410043,-8.175892,-1.4786199,3.0481808,1.9023274,-1.1547816,-0.0640092,0
0.02,9.009758670990017,5.583257206906991,-4.606252191536684,0.8793777462557228,9.74703,3.3158875,-1.469516,-0.48551083,13.88716,-11.747265,2.8605504,0.4576581,-0.18104315,0.28584138,0.822233,-8.180671,-1.4213344,3.0194545,2.4763942,-1.6929866,-0.017716937,0
0.03,9.009758670990017,5.583257206906991,-4.606252191536684,0.8793777462557228,9.74703,3.3158875,-1.469516,-0.48551083,13.805341,-11.761192,2.890602,0.46279657,-0.1668579,0.29260036,0.8199773,-8.182843,-1.3640912,2.9908915,2.9609635,-2.1472301,0.026303759,0
0.04,9.009758670990017,5.583257206906991,-4.606252191536684,0.8793777462557228,8.462696,3.2851336,-0.33079752,-0.4246859,13.723515,-11.774548,2.920369,0.46858758,-0.14980976,0.30015814,0.817244,-8.181808,-1.3070403,2.9625106,3.3699841,-2.530615,0.06816435,0
0.05,9.009758670990017,5.583257206906991,-4.606252191536684,0.8793777462557228,8.462696,3.2851336,-0.33079752,-0.4246859,13.641717,-11.7873335,2.9498527,0.4748152,-0.13031173,0.30832472,0.8139442,-8.177062,-1.2503536,2.9342706,3.7152307,-2.8541982,0.10797082,0
0.060000000000000005,9.009758670990017,5.583257206906991,-4.606252191536684,0.8793777462557228,8.462696,3.2851336,-0.33079752,-0.4246859,13.559988,-11.799556,2.9790542,0.4812906,-0.1087175,0.3169336,0.8099956,-8.168188,-1.1942225,2.906075,4.0066442,-3.127311,0.14582397,0
0.07,9.009758670990017,5.583257206906991,-4.606252191536684,0.8793777462557228,8.462696,3.2851336,-0.33079752,-0.4246859,13.478369,-11.81122,3.0079734,0.48784995,-0.08533249,0.32583925,0.80532575,-8.154848,-1.1388557,2.8777778,4.252617,-3.3578281,0.18181966,0
0.08,11.207343669560348,4.8235151252105135,-3.9638979805628667,0.7823833192045643,11.196993,5.5670223,0.6871942,1.9040902,13.396907,-11.822336,3.0366087,0.49435222,-0.060422353,0.3349148,0.7998731,-8.136777,-1.0844758,2.84919,4.4602313,-3.552395,0.21604902,0
0.09,11.207343669560348,4.8235151252105135,-3.9638979805628667,0.7823833192045643,11.196993,5.5670223,0.6871942,1.9040902,13.315678,-11.832849,3.0650399,0.5005875,-0.03458015,0.34393662,0.79367745,-8.108188,-1.0183432,2.8369176,4.5169597,-3.616479,0.2438392,0
0.09999999999999999,11.207343669560348,4.8235151252105135,-3.9638979805628667,0.7823833192045643,11.196993,5.5670223,0.6871942,1.9040902,13.234765,-11.84271,3.093344,0.5064062,-0.00829793,0.3527345,0.7868051,-8.073443,-0.95397675,2.8237112,4.5648384,-3.6705725,0.27026573,0
0.10999999999999999,11.207343669560348,4.8235151252105135,-3.9638979805628667,0.7823833192045643,11.196993,5.5670223,0.6871942,1.9040902,13.15423,-11.851935,3.12151,0.51177806,0.018344048,0.36127773,0.77924657,-8.032585,-0.8916154,2.8092694,4.6052475,-3.716234,0.2953955,0
0.11999999999999998,11.207343669560348,4.8235151252105135,-3.9638979805628667,0.7823833192045643,11.196993,5.5670223,0.6871942,1.9040902,13.074134,-11.860549,3.1495242,0.51667786,0.045272894,0.3695391,0.7709963,-7.9856887,-0.83149165,2.7932842,4.6393523,-3.7547781,0.31929213,0
0.12999999999999998,12.989072913071356,2.9204595643453994,-1.9020895327287501,0.06019456265892113,10.07828,4.490211,-2.077886,3.7567544,12.994536,-11.868572,3.1773694,0.521085,0.07242204,0.3774947,0.762052,-7.9328656,-0.7738299,2.775445,4.668135,-3.7873151,0.3420162,0
0.13999999999999999,12.989072913071356,2.9204595643453994,-1.9020895327287501,0.06019456265892113,10.07828,4.490211,-2.077886,3.7567544,12.915542,-11.875989,3.205088,0.5248105,0.09867442,0.38499138,0.7527411,-7.864997,-0.71006906,2.767874,4.395489,-3.4934156,0.3281871,0
0.15,12.989072913071356,2.9204595643453994,-1.9020895327287501,0.06019456265892113,10.07828,4.490211,-2.077886,3.7567544,12.837256,-11.882784,3.2327173,0.5277732,0.1231472,0.3919546,0.7434125,-7.791017,-0.649376,2.757586,4.165378,-3.2453341,0.31503662,0
0.16,14.181257961246278,0.804285584490632,0.1491551419957421,-1.081254751309246,1.3484056,-0.9779698,-0.53070843,2.00023,12.75974,-11.888988,3.2602298,0.5300962,0.14610179,0.39846596,0.7340829,-7.7115026,-0.5916737,2.7444322,3.9711661,-3.0359285,0.30253142,0
0.17,14.181257961246278,0.804285584490632,0.1491551419957421,-1.081254751309246,1.3484056,-0.9779698,-0.53070843,2.00023,12.6831,-11.89459,3.2876513,0.53181684,0.1668493,0.40446216,0.7250813,-7.61604,-0.5297393,2.7389634,3.5278883,-2.5902421,0.23920493,0
0.18000000000000002,14.181257961246278,0.804285584490632,0.1491551419957421,-1.081254751309246,1.3484056,-0.9779698,-0.53070843,2.00023,12.607426,-11.899597,3.314989,0.5329962,0.18468033,0.40990686,0.716788,-7.5184073,-0.47232193,2.7278485,3.1130643,-2.1733067,0.17533807,0
