time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,12.678176932317777,5.999999609676979,-5.9999998842916975,-3.894150185561016,10.800961,-1.7974598,-2.2442293,-0.3990469,16.658035,-10.491577,1.3071088,-0.123516634,0.39882177,-0.23792987,-0.87696874,-8.7808275,-3.484091,-0.582589,1.3861026,-0.16205937,-0.108736776,0
0.01,12.678176932317777,5.999999609676979,-5.9999998842916975,-3.894150185561016,7.66957,-2.812724,-3.5106566,0.94063884,16.569641,-10.525943,1.3013128,-0.12757328,0.39668754,-0.24374254,-0.8757588,-8.897382,-3.3890178,-0.5769678,1.5232841,-0.49033594,-0.24240866,0
0.02,12.678176932317777,5.999999609676979,-5.9999998842916975,-3.894150185561016,7.66957,-2.812724,-3.5106566,0.94063884,16.4801,-10.559356,1.2955616,-0.13287774,0.39319074,-0.24970719,-0.87486607,-9.010057,-3.2934964,-0.5736018,1.6754735,-0.803895,-0.37278003,0
0.03,12.678176932317777,5.999999609676979,-5.9999998842916975,-3.894150185561016,7.66957,-2.812724,-3.5106566,0.94063884,16.389454,-10.591809,1.2898341,-0.13942811,0.38837096,-0.25588536,-0.87421405,-9.118438,-3.1974142,-0.5721424,1.8398335,-1.1045325,-0.49996805,0
0.04,12.678176932317777,5.999999609676979,-5.9999998842916975,-3.894150185561016,11.431261,-2.6637652,-4.2834015,0.036626194,16.297749,-10.623301,1.2841132,-0.14721665,0.38225767,-0.2623233,-0.8737234,-9.222127,-3.1006665,-0.5722916,2.0139594,-1.3937529,-0.6240832,0
0.05,12.678176932317777,5.999999609676979,-5.9999998842916975,-3.894150185561016,11.431261,-2.6637652,-4.2834015,0.036626194,16.20503,-10.653821,1.2783836,-0.1562301,0.37487182,-0.26905385,-0.8733116,-9.320742,-3.003167,-0.5737977,2.195813,-1.6728183,-0.7452299,0
0.060000000000000005,12.678176932317777,5.999999609676979,-5.9999998842916975,-3.894150185561016,11.431261,-2.6637652,-4.2834015,0.036626194,16.111355,-10.683362,1.2726332,-0.1664499,0.3662273,-0.2760982,-0.8728927,-9.413911,-2.9048526,-0.57645226,2.3836656,-1.9427861,-0.8635068,0
0.07,12.678176932317777,5.999999609676979,-5.9999998842916975,-3.894150185561016,11.431261,-2.6637652,-4.2834015,0.036626194,16.016773,-10.711917,1.2668511,-0.17785229,0.35633215,-0.28346688,-0.87237734,-9.501276,-2.8056927,-0.58008707,2.576053,-2.2045426,-0.9790071,0
0.08,14.201350445218734,5.999999592362981,-5.999999900053596,-4.081209124192464,12.266318,-0.9103612,-4.537336,-0.5248643,15.92135,-10.739474,1.2610284,-0.19040832,0.34518987,-0.29116103,-0.87167287,-9.582488,-2.7056916,-0.5845719,2.771734,-2.458831,-1.0918192,0
0.09,14.201350445218734,5.999999592362981,-5.999999900053596,-4.081209124192464,12.266318,-0.9103612,-4.537336,-0.5248643,15.825113,-10.765983,1.2551981,-0.20413049,0.332768,-0.2991892,-0.8706789,-9.663813,-2.595987,-0.5816066,2.9846535,-2.7213337,-1.2125467,0
0.09999999999999999,14.201350445218734,5.999999592362981,-5.999999900053596,-4.081209124192464,12.266318,-0.9103612,-4.537336,-0.5248643,15.7281,-10.79139,1.2493937,-0.21902469,0.31902888,-0.30755147,-0.8692874,-9.737706,-2.4854856,-0.5793777,3.1991954,-2.977786,-1.3304663,0
0.10999999999999999,14.201350445218734,5.999999592362981,-5.999999900053596,-4.081209124192464,12.266318,-0.9103612,-4.537336,-0.5248643,15.630387,-10.81569,1.243608,-0.2350436,0.30396494,-0.3162238,-0.867388,-9.803799,-2.374325,-0.57785016,3.4145463,-3.2285674,-1.4456656,0
0.11999999999999998,14.201350445218734,5.999999592362981,-5.999999900053596,-4.081209124192464,12.266318,-0.9103612,-4.537336,-0.5248643,15.532054,-10.838876,1.2378341,-0.25213352,0.28756836,-0.32517448,-0.8648666,-9.86174,-2.262701,-0.5770253,3.6300175,-3.4739962,-1.5582274,0
0.12999999999999998,16.053923672034998,5.255112334977508,-5.999999850124263,-3.6231426515268503,13.557154,-0.46171334,-4.3784895,-0.93693095,15.433184,-10.860944,1.2320648,-0.27023405,0.26983228,-0.33436465,-0.86160547,-9.911205,-2.1508667,-0.5769394,3.8450255,-3.714339,-1.6682309,0
0.13999999999999999,16.053923672034998,5.255112334977508,-5.999999850124263,-3.6231426515268503,13.557154,-0.46171334,-4.3784895,-0.93693095,15.333852,-10.88187,1.2263125,-0.28936931,0.2504539,-0.34368783,-0.8575643,-9.953673,-2.0341754,-0.5733224,4.0642867,-4.071278,-1.764159,0
0.15,16.053923672034998,5.255112334977508,-5.999999850124263,-3.6231426515268503,13.557154,-0.46171334,-4.3784895,-0.93693095,15.234139,-10.901621,1.2206025,-0.30946052,0.2293109,-0.35297367,-0.85267806,-9.987259,-1.9156625,-0.56850207,4.2493906,-4.372526,-1.8553799,0
0.16,16.986826253202878,3.1075960512588825,-5.563863788946561,-1.300264974562996,14.769907,-0.7308262,-4.119944,-0.27929553,15.13414,-10.920179,1.2149464,-0.33030105,0.2066481,-0.36209726,-0.8468075,-10.01129,-1.795839,-0.56253487,4.4056644,-4.6267676,-1.9421245,0
0.17,16.986826253202878,3.1075960512588825,-5.563863788946561,-1.300264974562996,14.769907,-0.7308262,-4.119944,-0.27929553,15.033945,-10.9375,1.2093856,-0.35123172,0.18301818,-0.37035125,-0.84022623,-10.026068,-1.6683309,-0.5494171,4.2031446,-4.7725644,-1.9106282,0
0.18000000000000002,16.986826253202878,3.1075960512588825,-5.563863788946561,-1.300264974562996,14.769907,-0.7308262,-4.119944,-0.27929553,14.933657,-10.953547,1.2039615,-0.37172323,0.1588925,-0.37720716,-0.8332403,-10.030097,-1.540971,-0.5352258,4.0322366,-4.8956757,-1.8806776,0
0.19000000000000003,16.986826253202878,3.1075960512588825,-5.563863788946561,-1.300264974562996,14.769907,-0.7308262,-4.119944,-0.27929553,14.833382,-10.968324,1.1986846,-0.39177442,0.13435759,-0.3828083,-0.8257834,-10.023455,-1.4146469,-0.51999325,3.8880048,-4.9996305,-1.8521965,0
0.20000000000000004,16.867324905205844,1.9712912807640397,-4.350153014688455,-1.0878097611919006,15.319377,-1.4977845,-2.819172,0.41475853,14.733224,-10.981846,1.1935649,-0.4113778,0.109487735,-0.3872764,-0.8178002,-10.006266,-1.2901976,-0.5037995,3.7662842,-5.087409,-1.825113,0
0.21000000000000005,16.867324905205844,1.9712912807640397,-4.350153014688455,-1.0878097611919006,15.319377,-1.4977845,-2.819172,0.41475853,14.63329,-10.99414,1.1886073,-0.43027106,0.08492473,-0.3905562,-0.8093948,-9.978941,-1.169263,-0.4875745,3.4866104,-4.9720187,-1.7889334,0
0.22000000000000006,16.867324905205844,1.9712912807640397,-4.350153014688455,-1.0878097611919006,15.319377,-1.4977845,-2.819172,0.41475853,14.53368,-11.00524,1.1838157,-0.44827273,0.061189637,-0.3926456,-0.8007098,-9.941889,-1.0516237,-0.47064927,3.2505198,-4.874691,-1.754529,0
0.23000000000000007,16.867324905205844,1.9712912807640397,-4.350153014688455,-1.0878097611919006,15.319377,-1.4977845,-2.819172,0.41475853,14.434485,-11.015184,1.1791962,-0.4654777,0.0381758,-0.39370835,-0.7917488,-9.895705,-0.9378337,-0.45315453,3.0512207,-4.792597,-1.7218127,0
0.24000000000000007,16.867324905205844,1.9712912807640397,-4.350153014688455,-1.0878097611919006,15.33019,-2.3848658,-1.6790076,0.88120544,14.335795,-11.024013,1.174754,-0.48196176,0.015790494,-0.3938795,-0.7825099,-9.840946,-0.82837766,-0.43521804,2.8829799,-4.7233505,-1.6907021,0
0.25000000000000006,16.867324905205844,1.9712912807640397,-4.350153014688455,-1.0878097611919006,15.33019,-2.3848658,-1.6790076,0.88120544,14.237694,-11.03177,1.1704928,-0.4977854,-0.006046115,-0.3932707,-0.77298814,-9.7781315,-0.72368336,-0.41696754,2.7409565,-4.6649413,-1.6611179,0
0.26000000000000006,16.867324905205844,1.9712912807640397,-4.350153014688455,-1.0878097611919006,15.33019,-2.3848658,-1.6790076,0.88120544,14.140258,-11.038505,1.1664152,-0.5129966,-0.027402174,-0.3919743,-0.763177,-9.707752,-0.6241321,-0.3985325,2.6210656,-4.615672,-1.6329856,0
0.2700000000000001,16.867324905205844,1.9712912807640397,-4.350153014688455,-1.0878097611919006,15.33019,-2.3848658,-1.6790076,0.88120544,14.043563,-11.044271,1.1625224,-0.5276334,-0.048335355,-0.39006692,-0.75306964,-9.630271,-0.53006566,-0.3800451,2.5198576,-4.5741134,-1.6062336,0
0.2800000000000001,16.43312912256408,0.09852721884617659,-2.3504337857521724,0.058149112996672504,15.022232,-3.1488106,-0.3751234,0.900593,13.947677,-11.049126,1.1588141,-0.54172575,-0.06889402,-0.38761204,-0.7426595,-9.546132,-0.4417923,-0.3616405,2.4344208,-4.539057,-1.5807943,0
0.2900000000000001,16.43312912256408,0.09852721884617659,-2.3504337857521724,0.058149112996672504,15.022232,-3.1488106,-0.3751234,0.900593,13.852651,-11.053139,1.1552739,-0.55494916,-0.088173665,-0.38454336,-0.7323815,-9.458157,-0.36166123,-0.34643248,2.070712,-4.1972575,-1.500371,0
0.3000000000000001,16.43312912256408,0.09852721884617659,-2.3504337857521724,0.058149112996672504,15.022232,-3.1488106,-0.3751234,0.900593,13.758531,-11.056379,1.1518847,-0.5670909,-0.10547146,-0.38085273,-0.72265786,-9.364981,-0.2873264,-0.33142558,1.7636285,-3.908858,-1.4238938,0
0.3100000000000001,16.43312912256408,0.09852721884617659,-2.3504337857521724,0.058149112996672504,15.022232,-3.1488106,-0.3751234,0.900593,13.665366,-11.058905,1.1486448,-0.57831573,-0.12109805,-0.37665802,-0.7134525,-9.267412,-0.21860287,-0.3165716,1.5043567,-3.6655102,-1.3511696,0
0.3200000000000001,16.14461884570186,-2.063703266250764,0.060928319928058715,1.8956239204768917,15.678503,-4.4504423,0.7689133,1.3727125,13.573196,-11.06077,1.145553,-0.58875555,-0.13531701,-0.37205037,-0.7047228,-9.166126,-0.15530612,-0.30181625,1.2854553,-3.4601734,-1.282014,0
0.3300000000000001,16.14461884570186,-2.063703266250764,0.060928319928058715,1.8956239204768917,15.678503,-4.4504423,0.7689133,1.3727125,13.482053,-11.06203,1.142607,-0.59816474,-0.1472529,-0.36695793,-0.6970344,-9.062268,-0.0974763,-0.2876221,0.7428769,-2.9315467,-1.1280221,0
0.34000000000000014,16.14461884570186,-2.063703266250764,0.060928319928058715,1.8956239204768917,15.678503,-4.4504423,0.7689133,1.3727125,13.391953,-11.062737,1.1397965,-0.60633504,-0.15623483,-0.36144093,-0.6908752,-8.957461,-0.044852544,-0.2744858,0.30383226,-2.4664605,-0.97983193,0
0.35000000000000014,16.14461884570186,-2.063703266250764,0.060928319928058715,1.8956239204768917,15.678503,-4.4504423,0.7689133,1.3727125,13.302908,-11.06294,1.1371186,-0.61343265,-0.16274692,-0.35565728,-0.68609136,-8.851463,0.0038360255,-0.26097155,-0.06493925,-2.0720847,-0.8387324,0
